disease_name,organic_medicines,chemical_medicines
Squash Powdery Mildew,"Neem oil (https://www.amazon.in/s?k=neem+oil), Baking soda (https://www.amazon.in/s?k=baking+soda+for+plants), Sulfur dust (https://www.amazon.in/s?k=sulfur+dust)","Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Propiconazole (https://www.amazon.in/s?k=propiconazole)"
Strawberry Healthy,No medicine needed,No medicine needed
Strawberry Leaf Scorch,"Neem oil (https://www.amazon.in/s?k=neem+oil), Resistant varieties (https://www.amazon.in/s?k=strawberry+seeds+resistant)","Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Tomato Bacterial Spot,"Neem oil (https://www.amazon.in/s?k=neem+oil), Compost tea (https://www.amazon.in/s?k=compost+tea)","Copper hydroxide (https://www.amazon.in/s?k=copper+hydroxide), Streptomycin (https://www.amazon.in/s?k=streptomycin)"
Tomato Early Blight,"Neem oil (https://www.amazon.in/s?k=neem+oil), Garlic extract (https://www.amazon.in/s?k=garlic+extract+for+plants), Compost tea kit (https://www.amazon.in/s?k=compost+tea+kit)","Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Tomato Healthy,No medicine needed,No medicine needed
Tomato Late Blight,"Bordeaux mixture (https://www.amazon.in/s?k=bordeaux+mixture), Neem oil (https://www.amazon.in/s?k=neem+oil)","Metalaxyl (https://www.amazon.in/s?k=metalaxyl), Dimethomorph (https://www.amazon.in/s?k=dimethomorph), Cymoxanil (https://www.amazon.in/s?k=cymoxanil)"
Tomato Leaf Mold,"Neem oil (https://www.amazon.in/s?k=neem+oil), Baking soda (https://www.amazon.in/s?k=baking+soda+for+plants), Compost sprays (https://www.amazon.in/s?k=compost+spray)","Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride)"
Tomato Mosaic Virus,"Neem formulations (https://www.amazon.in/s?k=neem+formulation), Resistant tomato seeds (https://www.amazon.in/s?k=tomato+seeds+resistant)",No effective chemical — sanitation only
Tomato Septoria Leaf Spot,"Neem oil (https://www.amazon.in/s?k=neem+oil), Compost tea kit (https://www.amazon.in/s?k=compost+tea+kit), Sulfur dust (https://www.amazon.in/s?k=sulfur+dust)","Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Tomato Spider Mites Two-Spotted,"Neem oil (https://www.amazon.in/s?k=neem+oil), Predatory mites kit (https://www.amazon.in/s?k=predatory+mites), Horticultural oils (https://www.amazon.in/s?k=horticultural+oil)","Abamectin (https://www.amazon.in/s?k=abamectin), Spiromesifen (https://www.amazon.in/s?k=spiromesifen)"
Tomato Target Spot,"Neem oil (https://www.amazon.in/s?k=neem+oil), Sulfur sprays (https://www.amazon.in/s?k=sulfur+fungicide)","Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Copper oxychloride (https://www.amazon.in/s?k=copper+oxychloride)"
Tomato Tomato Yellowleaf Curl Virus,"Neem formulations (https://www.amazon.in/s?k=neem+formulation), Intercropping (https://www.amazon.in/s?k=intercropping+seeds)",No effective chemical — vector control only
Tomato Yellow Leaf Curl Virus,"Neem formulations (https://www.amazon.in/s?k=neem+formulation), Intercropping (https://www.amazon.in/s?k=intercropping+seeds)",No effective chemical — vector control only
