Grape Black Rot,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride+fungicide), Bacillus subtilis Biofungicide (https://www.amazon.in/s?k=bacillus+subtilis+biofungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Captan (https://www.amazon.in/s?k=captan+fungicide), Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Pyraclostrobin (https://www.amazon.in/s?k=pyraclostrobin)"
Grape Esca (Black Measles),"Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma+biofungus), Compost Tea (https://www.google.com/search?q=compost+tea+for+plants), Humic Acid (https://www.amazon.in/s?k=humic+acid+liquid)","Carbendazim (https://www.amazon.in/s?k=carbendazim), Tebuconazole (https://www.amazon.in/s?k=tebuconazole)"
Grape Leaf Blight (Isariopsis Leaf Spot),"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Pseudomonas fluorescens Biofungicide (https://www.amazon.in/s?k=pseudomonas+fluorescens+biofungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Difenoconazole (https://www.amazon.in/s?k=difenoconazole)"
Grape Healthy,"—","—"


disease_name,organic_medicines,chemical_medicines
Orange Haunglongbing (Citrus Greening),"Horticultural Oil 1–2% (https://www.amazon.in/s?k=horticultural+oil+for+plants), Neem Oil 0.5–1% (https://www.amazon.in/s?k=neem+oil+for+plants), Kaolin Clay Film (https://www.google.com/search?q=kaolin+clay+film+for+citrus), Yellow Sticky Traps (https://www.amazon.in/s?k=yellow+sticky+traps+insects)","Imidacloprid (https://www.amazon.in/s?k=imidacloprid), Thiamethoxam (https://www.amazon.in/s?k=thiamethoxam), Dinotefuran (https://www.google.com/search?q=dinotefuran+citrus), Spinetoram (https://www.google.com/search?q=spinetoram+insecticide), Cyantraniliprole (https://www.google.com/search?q=cyantraniliprole+insecticide), Abamectin (https://www.amazon.in/s?k=abamectin)"


disease_name,organic_medicines,chemical_medicines
Peach Bacterial Spot,"Copper Hydroxide (https://www.amazon.in/s?k=copper+hydroxide+fungicide), Bordeaux Mixture (https://www.google.com/search?q=bordeaux+mixture+for+plants), Neem Oil 0.5% (https://www.amazon.in/s?k=neem+oil+for+plants), Pseudomonas fluorescens Biofungicide (https://www.amazon.in/s?k=pseudomonas+fluorescens+biofungicide)","Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Kocide (https://www.google.com/search?q=kocide+copper+fungicide), Oxytetracycline (https://www.google.com/search?q=oxytetracycline+for+plants)"
Peach Healthy,"—","—"


disease_name,organic_medicines,chemical_medicines
Pepper Bell Bacterial Spot,"Copper Hydroxide (https://www.amazon.in/s?k=copper+hydroxide+fungicide), Bordeaux Mixture (https://www.google.com/search?q=bordeaux+mixture+for+plants), Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Pseudomonas fluorescens Biofungicide (https://www.amazon.in/s?k=pseudomonas+fluorescens+biofungicide)","Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Mancozeb (https://www.amazon.in/s?k=mancozeb), Streptocycline (https://www.google.com/search?q=streptocycline+antibiotic+for+plants), Kasugamycin (https://www.google.com/search?q=kasugamycin+for+plants)"
Pepper Bell Healthy,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Trichoderma Compost (https://www.amazon.in/s?k=trichoderma+compost)","—"


disease_name,organic_medicines,chemical_medicines
Potato Early Blight,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Potassium Bicarbonate (https://www.amazon.in/s?k=potassium+bicarbonate+fungicide), Bacillus subtilis Biofungicide (https://www.amazon.in/s?k=bacillus+subtilis+biofungicide), Trichoderma (https://www.amazon.in/s?k=trichoderma+bio+fungus)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Captan (https://www.amazon.in/s?k=captan+fungicide), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Pyraclostrobin (https://www.amazon.in/s?k=pyraclostrobin), Difenoconazole (https://www.amazon.in/s?k=difenoconazole), Propiconazole (https://www.amazon.in/s?k=propiconazole)"
Potato Late Blight,"Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Copper Hydroxide (https://www.amazon.in/s?k=copper+hydroxide+fungicide)","Cyazofamid (https://www.google.com/search?q=cyazofamid+fungicide), Mandipropamid (https://www.google.com/search?q=mandipropamid), Fluopicolide (https://www.google.com/search?q=fluopicolide), Oxathiapiprolin (https://www.google.com/search?q=oxathiapiprolin), Dimethomorph (https://www.google.com/search?q=dimethomorph), Metalaxyl-M / Mefenoxam (https://www.google.com/search?q=metalaxyl+mefenoxam), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Mancozeb (https://www.amazon.in/s?k=mancozeb)"
Potato Healthy,"Trichoderma Compost (https://www.amazon.in/s?k=trichoderma+compost), Seaweed Extract (https://www.amazon.in/s?k=seaweed+extract+plant+growth)","—"


disease_name,organic_medicines,chemical_medicines
Raspberry Healthy,"Compost Mulch (https://www.google.com/search?q=compost+mulch+for+plants), Trichoderma Biofertilizer (https://www.amazon.in/s?k=trichoderma+bio+fertilizer)","—"
Soybean Healthy,"Rhizobium Inoculant (https://www.amazon.in/s?k=rhizobium+biofertilizer), Seaweed Extract (https://www.amazon.in/s?k=seaweed+extract+plant+growth), Humic Acid (https://www.amazon.in/s?k=humic+acid+liquid)","—"
Squash Powdery Mildew,"Neem Oil 0.5% (https://www.amazon.in/s?k=neem+oil+for+plants), Potassium Bicarbonate (https://www.amazon.in/s?k=potassium+bicarbonate+fungicide), Milk Spray (https://www.google.com/search?q=milk+spray+powdery+mildew), Ampelomyces Biofungus (https://www.google.com/search?q=Ampelomyces+quisqualis)","Sulfur Dust (https://www.amazon.in/s?k=wettable+sulfur), Tebuconazole (https://www.amazon.in/s?k=tebuconazole), Myclobutanil (https://www.amazon.in/s?k=myclobutanil), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin)"
Strawberry Leaf Scorch,"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma+bio+fungus), Bacillus subtilis Biofungicide (https://www.amazon.in/s?k=bacillus+subtilis+biofungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Difenoconazole (https://www.amazon.in/s?k=difenoconazole)"
Strawberry Healthy,"Trichoderma Compost (https://www.amazon.in/s?k=trichoderma+compost), Seaweed Extract (https://www.amazon.in/s?k=seaweed+extract+plant+growth)","—"


disease_name,organic_medicines,chemical_medicines
Tomato Bacterial Spot,"Copper Hydroxide (https://www.amazon.in/s?k=copper+hydroxide+fungicide), Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Pseudomonas fluorescens Biofungicide (https://www.amazon.in/s?k=pseudomonas+fluorescens+biofungicide)","Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Mancozeb (https://www.amazon.in/s?k=mancozeb), Streptocycline (https://www.google.com/search?q=streptocycline+for+plants), Kasugamycin (https://www.google.com/search?q=kasugamycin+for+plants)"
Tomato Early Blight,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Trichoderma (https://www.amazon.in/s?k=trichoderma+bio+fungus), Bacillus subtilis (https://www.amazon.in/s?k=bacillus+subtilis+biofungicide)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Propiconazole (https://www.amazon.in/s?k=propiconazole), Difenoconazole (https://www.amazon.in/s?k=difenoconazole)"
Tomato Late Blight,"Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma+biofungus), Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Copper Hydroxide (https://www.amazon.in/s?k=copper+hydroxide+fungicide)","Cymoxanil (https://www.google.com/search?q=cymoxanil), Mandipropamid (https://www.google.com/search?q=mandipropamid), Dimethomorph (https://www.google.com/search?q=dimethomorph), Metalaxyl (https://www.google.com/search?q=metalaxyl), Oxathiapiprolin (https://www.google.com/search?q=oxathiapiprolin)"
Tomato Leaf Mold,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Baking Soda Spray (https://www.google.com/search?q=baking+soda+spray+for+leaf+mold), Trichoderma Biofungus (https://www.amazon.in/s?k=trichoderma+bio+fungus)","Copper Oxychloride (https://www.amazon.in/s?k=copper+oxychloride), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Difenoconazole (https://www.amazon.in/s?k=difenoconazole), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin)"
Tomato Mosaic Virus,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Milk Spray (https://www.google.com/search?q=milk+spray+for+plants), Trichoderma Soil Drench (https://www.amazon.in/s?k=trichoderma+soil+drench)","Imidacloprid (https://www.amazon.in/s?k=imidacloprid), Thiamethoxam (https://www.amazon.in/s?k=thiamethoxam)"


disease_name,organic_medicines,chemical_medicines
Tomato Septoria Leaf Spot,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Baking Soda Spray (https://www.google.com/search?q=baking+soda+spray+for+plants), Bacillus subtilis Biofungicide (https://www.amazon.in/s?k=bacillus+subtilis+biofungicide), Trichoderma (https://www.amazon.in/s?k=trichoderma+bio+fungus)","Mancozeb (https://www.amazon.in/s?k=mancozeb), Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Difenoconazole (https://www.amazon.in/s?k=difenoconazole)"
Tomato Spider Mites (Two-Spotted Spider Mite),"Neem Oil 1% (https://www.amazon.in/s?k=neem+oil+for+plants), Horticultural Oil (https://www.amazon.in/s?k=horticultural+oil), Predatory Mites (https://www.google.com/search?q=Phytoseiulus+persimilis)","Abamectin (https://www.amazon.in/s?k=abamectin), Spiromesifen (https://www.google.com/search?q=spiromesifen)"
Tomato Target Spot,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Trichoderma (https://www.amazon.in/s?k=trichoderma+bio+fungus), Bacillus subtilis (https://www.amazon.in/s?k=bacillus+subtilis+biofungicide)","Chlorothalonil (https://www.amazon.in/s?k=chlorothalonil), Mancozeb (https://www.amazon.in/s?k=mancozeb), Azoxystrobin (https://www.amazon.in/s?k=azoxystrobin), Difenoconazole (https://www.amazon.in/s?k=difenoconazole)"
Tomato Yellow Leaf Curl Virus,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Seaweed Extract (https://www.amazon.in/s?k=seaweed+extract+plant+growth), Yellow Sticky Traps (https://www.amazon.in/s?k=yellow+sticky+traps+insects)","Imidacloprid (https://www.amazon.in/s?k=imidacloprid), Thiamethoxam (https://www.amazon.in/s?k=thiamethoxam), Pymetrozine (https://www.google.com/search?q=pymetrozine)"
Tomato Healthy,"Neem Oil (https://www.amazon.in/s?k=neem+oil+for+plants), Trichoderma Compost (https://www.amazon.in/s?k=trichoderma+compost)","—"
