disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Pepper Bell Bacterial Spot,"• Start with **certified, pathogen-free seed** or treat seed with hot water (50 °C for 25 min) or 10% bleach (1 min) followed by rinsing.
• Apply **copper-based sprays** (copper hydroxide 0.3% or Bordeaux 0.5%) every 7–10 days during humid periods.
• Use **Neem oil 0.5%** or **Pseudomonas fluorescens** bio-bactericide to reduce bacterial load.
• Avoid overhead watering; irrigate at the base.
• Remove infected debris and mulch to reduce splash spread.","• Copper hydroxide or copper oxychloride (FRAC M1) + Mancozeb (M3) as protectant sprays during humid conditions.
• For severe infections, use **Streptocycline** (streptomycin + tetracycline mix, 100 ppm) or **Kasugamycin** where permitted.
• Alternate copper and antibiotic sprays to minimize resistance.","• Rotate with non-solanaceous crops for 2–3 years.
• Avoid working with wet plants; disinfect tools regularly.
• Use resistant hybrids where available (e.g., ‘Arka Mohini’, ‘Indra F1’).
• Maintain spacing 45–60 cm rows; good airflow reduces bacterial survival.","Water-soaked dark spots on leaves that enlarge, become brown and often have yellow halo; fruit lesions are raised, scabby, and corky; leaf drop and defoliation in severe cases.","Favored by **warm (25–32 °C)**, high humidity, and splashing rain. Disease worsens after storms or overhead irrigation.","Maintain N 100 kg/ha, P₂O₅ 60 kg/ha, K₂O 80–100 kg/ha. Avoid excess N; apply Ca and B for fruit firmness.","Copper sprays may cause phytotoxicity under very high temperatures (>32 °C). Do not mix copper and antibiotics in the same tank. Practice IPM rotation and seed sanitation each season."
Pepper Bell Healthy,"• Maintain organic mulch and drip irrigation to avoid leaf wetness.
• Spray neem oil (0.5%) once every 15 days as preventive.
• Add Trichoderma + compost for soil health.","—","• Rotate crops; maintain weed-free beds.
• Use well-drained raised beds and avoid standing water.","Healthy shiny green leaves, firm fruits with smooth surface, no brown or scabby spots.","Normal risk; monitor after rains or storms.","Balanced fertilization (N 100 kg/ha, P 60, K 80) split across growth stages. Apply micronutrients (Zn, B, Ca) via foliar spray every 30 days.","Keep monitoring for bacterial spot especially after heavy rain; early neem oil sprays can prevent infection."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Potato Early Blight,"• Remove volunteer potatoes and nightshade weeds.
• Mulch rows; avoid overhead irrigation; water early morning only.
• Weekly organic sprays at first lesions: Neem oil 0.5–1%, Potassium bicarbonate (5–10 g/L), Bacillus subtilis / Trichoderma biofungicides.
• Improve airflow with hilling and proper spacing.","• Begin protectant sprays at row closure/first lesions: Mancozeb (M03), Chlorothalonil (M05), Captan (M04).
• Add systemics/curatives in rotation during pressure: Azoxystrobin / Pyraclostrobin (FRAC 11), Difenoconazole / Propiconazole (FRAC 3).
• 7–10 day interval; tighten to 5–7 days in conducive weather; rotate FRAC groups.","• Use certified seed; avoid wounding during planting.
• Rotate out of solanaceous crops 2–3 years.
• Maintain K and Ca sufficiency; avoid excess N that produces lush foliage.
• Destroy crop residues after harvest.","Concentric (‘target’) rings on older leaves; yellow halos; lesions expand causing blight; dry, sunken dark lesions on stems/tubers; foliage senesces from bottom up.","Favored by **warm (24–30 °C)** with alternating wet/dry periods; prolonged leaf wetness and humidity accelerate spread.","Base (per ha): N 120–150 kg split (planting + hilling), P₂O₅ 60–90 kg, K₂O 120–150 kg; K is critical for disease tolerance and tuber quality. Foliar Ca at tuber bulking helps.","Scout from canopy closure; use forecasting (e.g., TOM-CAST). Alternate FRAC 3/11 with multisite protectants to slow resistance."
Potato Late Blight,"• Rogue infected plants early; remove cull piles; destroy volunteers.
• Copper-based protectants approved for organic (Copper oxychloride/hydroxide per label); apply ahead of forecasted infection periods.
• Strict sanitation; avoid overhead irrigation; ensure rapid canopy drying with wider rows/airflow.","• Start **preventive** program before or at first forecast alert: Cyazofamid (FRAC 21), Mandipropamid (40), Fluopicolide (43), Oxathiapiprolin (49), Dimethomorph (40), Metalaxyl-M/Mefenoxam (4) where sensitive populations remain; **always rotate** modes and tank-mix with multisites (Chlorothalonil M05, Mancozeb M03).
• Tight intervals (5–7 days) during cool, wet weather.","• Plant certified, fungicide-treated seed; avoid poorly drained fields.
• Hill well to protect tubers; manage irrigation to avoid prolonged leaf wetness.
• Eliminate nearby tomato hosts; sanitize equipment.","Water-soaked, oily lesions with pale green halo on leaves; rapid brown/black blight under cool, wet conditions; white downy growth at lesion margins (underside). Tuber infections are firm, brown granular rot under the skin.","Explodes under **cool (10–20 °C), wet, humid** weather with long leaf wetness; night temps + heavy dew are high risk.","N 120–150 kg/ha split; prioritize **K₂O 150–200 kg/ha** for tuber firmness; avoid late heavy N which delays maturity and increases susceptibility; Ca and Mg balanced.","Late blight can overcome single-site fungicides quickly—rotate FRAC groups, maintain coverage, and remove cull piles. Watch regional alerts."
Potato Healthy,"• Maintain weed-free ridges; drip or furrow irrigation to keep foliage dry.
• Compost + Trichoderma at planting; seed piece dusting with bio-agents where available.","—","• Use certified seed; sanitize cutters; treat seed for seed-borne pathogens where needed.
• Rotate 2–3 years away from potatoes and tomatoes.","Uniform green foliage; no concentric rings or water-soaked lesions; firm, clean tubers.","Normal; monitor closely during cool/wet spells (late blight) and warm humid spells (early blight).","Follow soil test; split N (e.g., 80–100 kg at planting + 40–50 kg at hilling); K high relative to N; ensure adequate S, Ca, Mg and Zn. Maintain pH ~5.2–5.8.","Record healthy reference photos; scout twice weekly from canopy closure; keep irrigation early morning to reduce night-time leaf wetness."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Raspberry Healthy,"• Maintain mulched beds using composted sawdust or straw to conserve moisture.
• Drip irrigation to keep foliage dry.
• Prune old canes post-harvest; maintain 8–10 canes per foot of row.
• Apply compost or well-rotted manure annually before bud break.
• Encourage pollinators; avoid insecticides during bloom.","—","• Plant disease-free stock; space rows 2.5–3 ft apart for air movement.
• Weed control is essential; grasses increase humidity and pest risk.
• Sanitize pruning tools.","Healthy dark green foliage, no cane dieback or spots; plump berries; vigorous new canes.","Moderate climates (15–25 °C) with well-drained soil preferred; waterlogging or drought both reduce vigor.","N 40–60 kg/ha as split top-dressing (spring + early summer), P₂O₅ 50 kg/ha, K₂O 80 kg/ha. Maintain soil pH 6.0–6.5.","Rejuvenate beds every 4–5 years; rotate with non-Rosaceae crops; maintain mulch and compost annually."
Soybean Healthy,"• Maintain residue cover and crop rotation to improve soil health.
• Use Rhizobium biofertilizer seed inoculation for nitrogen fixation.
• Foliar spray of seaweed extract or humic acid biostimulants at vegetative stage.
• Maintain adequate irrigation; avoid drought stress during pod filling.","—","• Rotate with cereals (maize/wheat) to reduce pathogen buildup.
• Use certified seed and avoid late sowing.
• Ensure pest-free, weed-free field.","Healthy green leaves, no mosaic, blight, or spots; uniform nodulation at roots; full pods.","Soybean thrives at **25–30 °C**; avoid waterlogging; dry spells during flowering reduce yield.","Base: N-fixing crop—no direct N needed if inoculated; apply P₂O₅ 40–60 kg/ha, K₂O 40–60 kg/ha; foliar Zn + Fe sprays recommended.","Monitor for early signs of rust or yellow mosaic after rains; maintain soil microbiota with minimal chemical disturbance."
Squash Powdery Mildew,"• Increase air flow: space plants properly; train vines off the ground.
• Weekly sprays: Neem oil (0.5%), Potassium bicarbonate (5 g/L), or milk spray (1:9 dilution) as organic fungicide.
• Introduce *Ampelomyces quisqualis* bio-fungus (natural hyperparasite).
• Avoid excess nitrogen.","• Sulfur dust (wettable sulfur 0.3%) or triazole fungicides (Tebuconazole, Myclobutanil) at first visible spots; alternate with strobilurins (Azoxystrobin) for resistance management.
• Apply every 7–10 days if conditions persist.","• Water early in the day to allow leaves to dry quickly.
• Remove infected leaves; dispose away from field.
• Rotate crops yearly and avoid cucurbit residues in soil.","White powdery coating on upper leaf surfaces; leaf curling and yellowing; stunted growth and reduced fruit set.","Favored by **warm (20–30 °C), dry days with humid nights**; dense canopy accelerates spread.","N 80–100 kg/ha split (half basal, half at flowering), P₂O₅ 60 kg/ha, K₂O 80–100 kg/ha; adequate Ca improves fruit firmness.","Avoid spraying sulfur during hot (>32 °C) or drought periods. Rotate fungicide classes every crop cycle."
Strawberry Leaf Scorch,"• Remove and destroy infected leaves post-harvest.
• Weekly Neem oil 0.5–1% or copper-based fungicide sprays in early spring.
• Use Trichoderma / Bacillus subtilis biofungicides in soil drench.
• Maintain drip irrigation only (no overhead).","• Preventive fungicide sprays: Mancozeb or Chlorothalonil pre-bloom; systemic options like Azoxystrobin or Difenoconazole post-bloom (rotate FRAC groups).","• Use clean planting material.
• Space plants 30 cm apart; prune runners to improve airflow.
• Remove debris and old leaves before new flush.","Small purple to brown spots with pale centers on leaves; later coalesce causing leaf drying (‘scorching’); yield reduction under severe infection.","Occurs during **cool to mild (18–26 °C), humid** weather; prolonged leaf wetness critical.","Apply N 80–100 kg/ha, P₂O₅ 60 kg/ha, K₂O 120 kg/ha; Ca & B foliar sprays improve fruit quality.","Remove old mulch after harvest; reapply fresh straw to reduce overwintering inoculum."
Strawberry Healthy,"• Maintain raised beds with straw mulch.
• Apply compost + Trichoderma at planting.
• Use drip irrigation and row covers for frost protection.
• Seaweed extract foliar spray improves stress tolerance.","—","• Rotate with non-cucurbit/non-strawberry crops.
• Sanitize beds and tools; maintain bee-friendly environment.","Healthy green leaves, glossy and firm; no purple/brown lesions; bright red berries.","Optimal growth **18–28 °C**; frost or high humidity stress reduces yield.","Balanced fertilizer N 80–100 kg/ha, P₂O₅ 60 kg/ha, K₂O 120 kg/ha; micronutrients Zn + B foliar every 30 days.","Replace planting stock every 2–3 years; continue preventive care."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
